state,county,party,candidate,votes
GA,Upson,DEM,HILLARY CLINTON,3475
GA,Walker,DEM,HILLARY CLINTON,4215
GA,Walton,DEM,HILLARY CLINTON,8292
GA,Ware,DEM,HILLARY CLINTON,3440
GA,Warren,DEM,HILLARY CLINTON,1314
GA,Washington,DEM,HILLARY CLINTON,4200
GA,Wayne,DEM,HILLARY CLINTON,2041
GA,Webster,DEM,HILLARY CLINTON,473
GA,Wheeler,DEM,HILLARY CLINTON,646
GA,White,DEM,HILLARY CLINTON,1674
GA,Whitfield,DEM,HILLARY CLINTON,7937
GA,Wilcox,DEM,HILLARY CLINTON,852
GA,Wilkes,DEM,HILLARY CLINTON,1848
GA,Wilkinson,DEM,HILLARY CLINTON,1894
GA,Worth,DEM,HILLARY CLINTON,2020
GA,,LIB,GARY JOHNSON,125306
GA,Appling,LIB,GARY JOHNSON,77
GA,Atkinson,LIB,GARY JOHNSON,35
GA,Bacon,LIB,GARY JOHNSON,47
GA,Baker,LIB,GARY JOHNSON,15
GA,Baldwin,LIB,GARY JOHNSON,419
GA,Banks,LIB,GARY JOHNSON,132
GA,Barrow,LIB,GARY JOHNSON,1143
GA,Bartow,LIB,GARY JOHNSON,1183
GA,Ben Hill,LIB,GARY JOHNSON,91
GA,Berrien,LIB,GARY JOHNSON,115
GA,Bibb,LIB,GARY JOHNSON,1447
GA,Bleckley,LIB,GARY JOHNSON,123
GA,Brantley,LIB,GARY JOHNSON,106
GA,Brooks,LIB,GARY JOHNSON,89
GA,Bryan,LIB,GARY JOHNSON,542
GA,Bulloch,LIB,GARY JOHNSON,890
GA,Burke,LIB,GARY JOHNSON,129
GA,Butts,LIB,GARY JOHNSON,194
GA,Calhoun,LIB,GARY JOHNSON,16
GA,Camden,LIB,GARY JOHNSON,629
GA,Candler,LIB,GARY JOHNSON,73
GA,Carroll,LIB,GARY JOHNSON,1346
GA,Catoosa,LIB,GARY JOHNSON,881
GA,Charlton,LIB,GARY JOHNSON,54
GA,Chatham,LIB,GARY JOHNSON,3503
GA,Chattahoochee,LIB,GARY JOHNSON,45
GA,Chattooga,LIB,GARY JOHNSON,177
GA,Cherokee,LIB,GARY JOHNSON,5015
GA,Clarke,LIB,GARY JOHNSON,2019
GA,Clay,LIB,GARY JOHNSON,8
GA,Clayton,LIB,GARY JOHNSON,1647
GA,Clinch,LIB,GARY JOHNSON,34
GA,Cobb,LIB,GARY JOHNSON,14466
GA,Coffee,LIB,GARY JOHNSON,233
GA,Colquitt,LIB,GARY JOHNSON,240
GA,Columbia,LIB,GARY JOHNSON,2270
GA,Cook,LIB,GARY JOHNSON,112
GA,Coweta,LIB,GARY JOHNSON,2235
GA,Crawford,LIB,GARY JOHNSON,106
GA,Crisp,LIB,GARY JOHNSON,126
GA,Dade,LIB,GARY JOHNSON,226
GA,Dawson,LIB,GARY JOHNSON,356
GA,Decatur,LIB,GARY JOHNSON,126
GA,DeKalb,LIB,GARY JOHNSON,9666
GA,Dodge,LIB,GARY JOHNSON,138
GA,Dooly,LIB,GARY JOHNSON,36
GA,Dougherty,LIB,GARY JOHNSON,475
GA,Douglas,LIB,GARY JOHNSON,1594
GA,Early,LIB,GARY JOHNSON,65
GA,Echols,LIB,GARY JOHNSON,13
GA,Effingham,LIB,GARY JOHNSON,679
GA,Elbert,LIB,GARY JOHNSON,139
GA,Emanuel,LIB,GARY JOHNSON,75
GA,Evans,LIB,GARY JOHNSON,68
GA,Fannin,LIB,GARY JOHNSON,222
GA,Fayette,LIB,GARY JOHNSON,2103
GA,Floyd,LIB,GARY JOHNSON,1084
GA,Forsyth,LIB,GARY JOHNSON,4091
GA,Franklin,LIB,GARY JOHNSON,177
GA,Fulton,LIB,GARY JOHNSON,15765
GA,Gilmer,LIB,GARY JOHNSON,293
GA,Glascock,LIB,GARY JOHNSON,17
GA,Glynn,LIB,GARY JOHNSON,825
GA,Gordon,LIB,GARY JOHNSON,507
GA,Grady,LIB,GARY JOHNSON,135
GA,Greene,LIB,GARY JOHNSON,151
GA,Gwinnett,LIB,GARY JOHNSON,12494
GA,Habersham,LIB,GARY JOHNSON,461
GA,Hall,LIB,GARY JOHNSON,2307
GA,Hancock,LIB,GARY JOHNSON,36
GA,Haralson,LIB,GARY JOHNSON,264
GA,Harris,LIB,GARY JOHNSON,379
GA,Hart,LIB,GARY JOHNSON,209
GA,Heard,LIB,GARY JOHNSON,93
GA,Henry,LIB,GARY JOHNSON,2505
GA,Houston,LIB,GARY JOHNSON,1761
GA,Irwin,LIB,GARY JOHNSON,58
GA,Jackson,LIB,GARY JOHNSON,834
GA,Jasper,LIB,GARY JOHNSON,119
GA,Jeff Davis,LIB,GARY JOHNSON,86
GA,Jefferson,LIB,GARY JOHNSON,70
GA,Jenkins,LIB,GARY JOHNSON,34
GA,Johnson,LIB,GARY JOHNSON,27
GA,Jones,LIB,GARY JOHNSON,260
GA,Lamar,LIB,GARY JOHNSON,126
GA,Lanier,LIB,GARY JOHNSON,73
GA,Laurens,LIB,GARY JOHNSON,313
GA,Lee,LIB,GARY JOHNSON,299
GA,Liberty,LIB,GARY JOHNSON,427
GA,Lincoln,LIB,GARY JOHNSON,70
GA,Long,LIB,GARY JOHNSON,131
GA,Lowndes,LIB,GARY JOHNSON,929
GA,Lumpkin,LIB,GARY JOHNSON,495
GA,Macon,LIB,GARY JOHNSON,42
GA,Madison,LIB,GARY JOHNSON,328
GA,Marion,LIB,GARY JOHNSON,49
GA,McDuffie,LIB,GARY JOHNSON,137
GA,McIntosh,LIB,GARY JOHNSON,113
GA,Meriwether,LIB,GARY JOHNSON,165
GA,Miller,LIB,GARY JOHNSON,30
GA,Mitchell,LIB,GARY JOHNSON,93
GA,Monroe,LIB,GARY JOHNSON,284
GA,Montgomery,LIB,GARY JOHNSON,45
GA,Morgan,LIB,GARY JOHNSON,218
GA,Murray,LIB,GARY JOHNSON,283
GA,Muscogee,LIB,GARY JOHNSON,1831
GA,Newton,LIB,GARY JOHNSON,947
GA,Oconee,LIB,GARY JOHNSON,925
GA,Oglethorpe,LIB,GARY JOHNSON,199
GA,Paulding,LIB,GARY JOHNSON,1954
GA,Peach,LIB,GARY JOHNSON,211
GA,Pickens,LIB,GARY JOHNSON,354
GA,Pierce,LIB,GARY JOHNSON,93
GA,Pike,LIB,GARY JOHNSON,163
GA,Polk,LIB,GARY JOHNSON,289
GA,Pulaski,LIB,GARY JOHNSON,58
GA,Putnam,LIB,GARY JOHNSON,170
GA,Quitman,LIB,GARY JOHNSON,8
GA,Rabun,LIB,GARY JOHNSON,219
GA,Randolph,LIB,GARY JOHNSON,28
GA,Richmond,LIB,GARY JOHNSON,1811
GA,Rockdale,LIB,GARY JOHNSON,923
GA,Schley,LIB,GARY JOHNSON,36
GA,Screven,LIB,GARY JOHNSON,94
GA,Seminole,LIB,GARY JOHNSON,48
GA,Spalding,LIB,GARY JOHNSON,597
GA,Stephens,LIB,GARY JOHNSON,243
GA,Stewart,LIB,GARY JOHNSON,28
GA,Sumter,LIB,GARY JOHNSON,178
GA,Talbot,LIB,GARY JOHNSON,46
GA,Taliaferro,LIB,GARY JOHNSON,3
GA,Tattnall,LIB,GARY JOHNSON,109
GA,Taylor,LIB,GARY JOHNSON,45
GA,Telfair,LIB,GARY JOHNSON,32
GA,Terrell,LIB,GARY JOHNSON,40
GA,Thomas,LIB,GARY JOHNSON,368
GA,Tift,LIB,GARY JOHNSON,244
GA,Toombs,LIB,GARY JOHNSON,158
GA,Towns,LIB,GARY JOHNSON,146
GA,Treutlen,LIB,GARY JOHNSON,32
GA,Troup,LIB,GARY JOHNSON,561
GA,Turner,LIB,GARY JOHNSON,53
GA,Twiggs,LIB,GARY JOHNSON,50
GA,Union,LIB,GARY JOHNSON,229
GA,Upson,LIB,GARY JOHNSON,167
GA,Walker,LIB,GARY JOHNSON,791
GA,Walton,LIB,GARY JOHNSON,1055
GA,Ware,LIB,GARY JOHNSON,206
GA,Warren,LIB,GARY JOHNSON,28
GA,Washington,LIB,GARY JOHNSON,98
GA,Wayne,LIB,GARY JOHNSON,192
GA,Webster,LIB,GARY JOHNSON,13
GA,Wheeler,LIB,GARY JOHNSON,35
GA,White,LIB,GARY JOHNSON,348
GA,Whitfield,LIB,GARY JOHNSON,924
GA,Wilcox,LIB,GARY JOHNSON,25
GA,Wilkes,LIB,GARY JOHNSON,57
GA,Wilkinson,LIB,GARY JOHNSON,51
GA,Worth,LIB,GARY JOHNSON,108
CA,Alameda,DEM,Hillary Clinton,514842
CA,Alpine,DEM,Hillary Clinton,334
CA,Amador,DEM,Hillary Clinton,6004
CA,Butte,DEM,Hillary Clinton,41567
CA,Calaveras,DEM,Hillary Clinton,7944
CA,Colusa,DEM,Hillary Clinton,2661
CA,Contra Costa,DEM,Hillary Clinton,319287
CA,Del Norte,DEM,Hillary Clinton,3485
CA,El Dorado,DEM,Hillary Clinton,36404
CA,Fresno,DEM,Hillary Clinton,141341
CA,Glenn,DEM,Hillary Clinton,3065
CA,Humboldt,DEM,Hillary Clinton,33200
CA,Imperial,DEM,Hillary Clinton,32667
CA,Inyo,DEM,Hillary Clinton,3155
CA,Kern,DEM,Hillary Clinton,98689
CA,Kings,DEM,Hillary Clinton,13617
CA,Lake,DEM,Hillary Clinton,11496
CA,Lassen,DEM,Hillary Clinton,2224
CA,Los Angeles,DEM,Hillary Clinton,2464364
CA,Madera,DEM,Hillary Clinton,17029
CA,Marin,DEM,Hillary Clinton,108707
CA,Mariposa,DEM,Hillary Clinton,3122
CA,Mendocino,DEM,Hillary Clinton,22079
CA,Merced,DEM,Hillary Clinton,37317
CA,Modoc,DEM,Hillary Clinton,877
CA,Mono,DEM,Hillary Clinton,2773
CA,Monterey,DEM,Hillary Clinton,89088
CA,Napa,DEM,Hillary Clinton,39199
CA,Nevada,DEM,Hillary Clinton,26053
CA,Orange,DEM,Hillary Clinton,609961
CA,Placer,DEM,Hillary Clinton,73509
CA,Plumas,DEM,Hillary Clinton,3459
CA,Riverside,DEM,Hillary Clinton,373695
CA,Sacramento,DEM,Hillary Clinton,326023
CA,San Benito,DEM,Hillary Clinton,12521
CA,San Bernardino,DEM,Hillary Clinton,340833
CA,San Diego,DEM,Hillary Clinton,735476
CA,San Francisco,DEM,Hillary Clinton,345084
CA,San Joaquin,DEM,Hillary Clinton,121124
CA,San Luis Obispo,DEM,Hillary Clinton,67107
CA,San Mateo,DEM,Hillary Clinton,237882
CA,Santa Barbara,DEM,Hillary Clinton,107142
CA,Santa Clara,DEM,Hillary Clinton,511684
CA,Santa Cruz,DEM,Hillary Clinton,95249
CA,Shasta,DEM,Hillary Clinton,22301
CA,Sierra,DEM,Hillary Clinton,601
CA,Siskiyou,DEM,Hillary Clinton,7234
CA,Solano,DEM,Hillary Clinton,102360
CA,Sonoma,DEM,Hillary Clinton,160435
CA,Stanislaus,DEM,Hillary Clinton,81647
